text,severity_score
"Gas leak detected near school emergency children dizzy",0.95
"Building collapsed trapping residents inside rescue needed urgently",0.98
"Live electric wire fallen on road children nearby danger",0.97
"Large pothole caused accident today arterial road dangerous night",0.72
"Water pipe burst road flooded traffic completely disrupted",0.68
"Garbage not collected for three days bins overflowing smell",0.50
"Road has potholes needs repair inconvenient for commuters",0.45
"Street light not working for a week area dark at night",0.40
"Please improve the park benches they are old and uncomfortable",0.10
"Minor crack on footpath suggest repair when convenient",0.15
"gas ki leakage ho rahi hai school ke paas bacche behosh",0.95
"aag lagi building mein log fathe hain rescue karo turant",0.97
"Urgent help chahiye gas leak ho rahi hai children ko dizzy",0.95
"Kachra teen din se nahi utha bins full ho gayi badbu aa rahi",0.48
"Sadak mein bada pothole hai vehicles ko problem ho rahi hai",0.44
